A,B,C,AVSC,cos-zenith
1232.48,0.141318,0.0566735,1.0334,-0.897101
1232.48,0.141318,0.0566735,1.0334,-0.940678
1232.34,0.141297,0.056673,1.03335,-0.937228
1232.34,0.141297,0.056673,1.03335,-0.888159
1232.34,0.141297,0.056673,1.03335,-0.796015
1232.34,0.141297,0.056673,1.03335,-0.667077
1232.34,0.141297,0.056673,1.03335,-0.510131
1232.34,0.141297,0.056673,1.03335,-0.335873
1232.34,0.141297,0.056673,1.03335,-0.156179
1232.34,0.141297,0.056673,1.03335,0.0167069
1232.34,0.141297,0.056673,1.03335,0.171001
1232.34,0.141297,0.056673,1.03335,0.29619
1232.34,0.141297,0.056673,1.03335,0.383741
1232.34,0.141297,0.056673,1.03335,0.427689
1232.34,0.141297,0.056673,1.03335,0.425037
1232.34,0.141297,0.056673,1.03335,0.375968
1232.34,0.141297,0.056673,1.03335,0.283824
1232.34,0.141297,0.056673,1.03335,0.154886
1232.34,0.141297,0.056673,1.03335,-0.00206
1232.34,0.141297,0.056673,1.03335,-0.176318
1232.34,0.141297,0.056673,1.03335,-0.356013
1232.34,0.141297,0.056673,1.03335,-0.528898
1232.34,0.141297,0.056673,1.03335,-0.683193
1232.34,0.141297,0.056673,1.03335,-0.808381
1232.34,0.141297,0.056673,1.03335,-0.895933
1232.34,0.141297,0.056673,1.03335,-0.93988
1232.19,0.141281,0.0566791,1.03329,-0.936721
1232.19,0.141281,0.0566791,1.03329,-0.887937
1232.19,0.141281,0.0566791,1.03329,-0.796005
1232.19,0.141281,0.0566791,1.03329,-0.667192
1232.19,0.141281,0.0566791,1.03329,-0.510276
1232.19,0.141281,0.0566791,1.03329,-0.335951
1232.19,0.141281,0.0566791,1.03329,-0.156095
1232.19,0.141281,0.0566791,1.03329,0.0170331
1232.19,0.141281,0.0566791,1.03329,0.171636
1232.19,0.141281,0.0566791,1.03329,0.297177
1232.19,0.141281,0.0566791,1.03329,0.385101
1232.19,0.141281,0.0566791,1.03329,0.429416
1232.19,0.141281,0.0566791,1.03329,0.427102
1232.19,0.141281,0.0566791,1.03329,0.378318
1232.19,0.141281,0.0566791,1.03329,0.286386
1232.19,0.141281,0.0566791,1.03329,0.157573
1232.19,0.141281,0.0566791,1.03329,0.000657276
1232.19,0.141281,0.0566791,1.03329,-0.173669
1232.19,0.141281,0.0566791,1.03329,-0.353524
1232.19,0.141281,0.0566791,1.03329,-0.526652
1232.19,0.141281,0.0566791,1.03329,-0.681255
1232.19,0.141281,0.0566791,1.03329,-0.806796
1232.19,0.141281,0.0566791,1.03329,-0.89472
1232.19,0.141281,0.0566791,1.03329,-0.939035
1232.02,0.141269,0.0566916,1.03323,-0.936162
1232.02,0.141269,0.0566916,1.03323,-0.887655
1232.02,0.141269,0.0566916,1.03323,-0.795927
1232.02,0.141269,0.0566916,1.03323,-0.66723
