A,B,C,AVSC,cos-zenith
1232.34,0.141297,0.056673,1.03335,-0.9747
1232.19,0.141281,0.0566791,1.03329,-0.973822
1232.19,0.141281,0.0566791,1.03329,-0.921775
1232.19,0.141281,0.0566791,1.03329,-0.821532
1232.19,0.141281,0.0566791,1.03329,-0.679924
1232.19,0.141281,0.0566791,1.03329,-0.506601
1232.19,0.141281,0.0566791,1.03329,-0.313375
1232.19,0.141281,0.0566791,1.03329,-0.113415
1232.19,0.141281,0.0566791,1.03329,0.0796539
1232.19,0.141281,0.0566791,1.03329,0.252673
1232.19,0.141281,0.0566791,1.03329,0.393852
1232.19,0.141281,0.0566791,1.03329,0.493569
1232.19,0.141281,0.0566791,1.03329,0.54503
1232.19,0.141281,0.0566791,1.03329,0.544726
1232.19,0.141281,0.0566791,1.03329,0.492679
1232.19,0.141281,0.0566791,1.03329,0.392436
1232.19,0.141281,0.0566791,1.03329,0.250828
1232.19,0.141281,0.0566791,1.03329,0.0775051
1232.19,0.141281,0.0566791,1.03329,-0.115721
1232.19,0.141281,0.0566791,1.03329,-0.315681
1232.19,0.141281,0.0566791,1.03329,-0.50875
1232.19,0.141281,0.0566791,1.03329,-0.681769
1232.19,0.141281,0.0566791,1.03329,-0.822948
1232.19,0.141281,0.0566791,1.03329,-0.922665
1232.19,0.141281,0.0566791,1.03329,-0.974126
1232.02,0.141269,0.0566916,1.03323,-0.973591
1232.02,0.141269,0.0566916,1.03323,-0.921858
1232.02,0.141269,0.0566916,1.03323,-0.821849
1232.02,0.141269,0.0566916,1.03323,-0.680381
1232.02,0.141269,0.0566916,1.03323,-0.507093
1232.02,0.141269,0.0566916,1.03323,-0.313796
1232.02,0.141269,0.0566916,1.03323,-0.113662
1232.02,0.141269,0.0566916,1.03323,0.0796711
1232.02,0.141269,0.0566916,1.03323,0.253027
1232.02,0.141269,0.0566916,1.03323,0.394591
1232.02,0.141269,0.0566916,1.03323,0.494717
1232.02,0.141269,0.0566916,1.03323,0.546582
1232.02,0.141269,0.0566916,1.03323,0.54665
1232.02,0.141269,0.0566916,1.03323,0.494917
1232.02,0.141269,0.0566916,1.03323,0.394908
1232.02,0.141269,0.0566916,1.03323,0.25344
1232.02,0.141269,0.0566916,1.03323,0.0801524
1232.02,0.141269,0.0566916,1.03323,-0.113145
1232.02,0.141269,0.0566916,1.03323,-0.313279
1232.02,0.141269,0.0566916,1.03323,-0.506612
1232.02,0.141269,0.0566916,1.03323,-0.679968
1232.02,0.141269,0.0566916,1.03323,-0.821532
1232.02,0.141269,0.0566916,1.03323,-0.921658
1232.02,0.141269,0.0566916,1.03323,-0.973523
1231.84,0.141262,0.0567103,1.03315,-0.973323
1231.84,0.141262,0.0567103,1.03315,-0.921896
1231.84,0.141262,0.0567103,1.03315,-0.822112
1231.84,0.141262,0.0567103,1.03315,-0.680773
1231.84,0.141262,0.0567103,1.03315,-0.50751
1231.84,0.141262,0.0567103,1.03315,-0.31413
1231.84,0.141262,0.0567103,1.03315,-0.113813
1231.84,0.141262,0.0567103,1.03315,0.0797908
1231.84,0.141262,0.0567103,1.03315,0.253487
1231.84,0.141262,0.0567103,1.03315,0.395439
1231.84,0.141262,0.0567103,1.03315,0.495973
1231.84,0.141262,0.0567103,1.03315,0.548238
1231.84,0.141262,0.0567103,1.03315,0.548671
1231.84,0.141262,0.0567103,1.03315,0.497243
1231.84,0.141262,0.0567103,1.03315,0.39746
1231.84,0.141262,0.0567103,1.03315,0.256121
1231.84,0.141262,0.0567103,1.03315,0.0828575
1231.84,0.141262,0.0567103,1.03315,-0.110522
1231.84,0.141262,0.0567103,1.03315,-0.310839
1231.84,0.141262,0.0567103,1.03315,-0.504443
1231.84,0.141262,0.0567103,1.03315,-0.678139
1231.84,0.141262,0.0567103,1.03315,-0.820091
1231.84,0.141262,0.0567103,1.03315,-0.920625
1231.84,0.141262,0.0567103,1.03315,-0.97289
1231.66,0.141259,0.0567348,1.03306,-0.973019
1231.66,0.141259,0.0567348,1.03306,-0.921888
1231.66,0.141259,0.0567348,1.03306,-0.82232
1231.66,0.141259,0.0567348,1.03306,-0.681098
1231.66,0.141259,0.0567348,1.03306,-0.507849
1231.66,0.141259,0.0567348,1.03306,-0.314377
1231.66,0.141259,0.0567348,1.03306,-0.113868
1231.66,0.141259,0.0567348,1.03306,0.0800136
1231.66,0.141259,0.0567348,1.03306,0.254055
1231.66,0.141259,0.0567348,1.03306,0.396396
1231.66,0.141259,0.0567348,1.03306,0.497336
1231.66,0.141259,0.0567348,1.03306,0.549997
1231.66,0.141259,0.0567348,1.03306,0.550789
1231.66,0.141259,0.0567348,1.03306,0.499658
1231.66,0.141259,0.0567348,1.03306,0.40009
1231.66,0.141259,0.0567348,1.03306,0.258868
1231.66,0.141259,0.0567348,1.03306,0.0856185
1231.66,0.141259,0.0567348,1.03306,-0.107853
1231.66,0.141259,0.0567348,1.03306,-0.308362
1231.66,0.141259,0.0567348,1.03306,-0.502244
1231.66,0.141259,0.0567348,1.03306,-0.676285
1231.66,0.141259,0.0567348,1.03306,-0.818626
1231.66,0.141259,0.0567348,1.03306,-0.919566
1231.66,0.141259,0.0567348,1.03306,-0.972227
1231.46,0.14126,0.056765,1.03296,-0.972677
1231.46,0.14126,0.056765,1.03296,-0.921834
1231.46,0.14126,0.056765,1.03296,-0.82247
1231.46,0.14126,0.056765,1.03296,-0.681356
1231.46,0.14126,0.056765,1.03296,-0.508109
1231.46,0.14126,0.056765,1.03296,-0.314535
1231.46,0.14126,0.056765,1.03296,-0.113826
1231.46,0.14126,0.056765,1.03296,0.0803398
1231.46,0.14126,0.056765,1.03296,0.254731
1231.46,0.14126,0.056765,1.03296,0.397462
1231.46,0.14126,0.056765,1.03296,0.498807
1231.46,0.14126,0.056765,1.03296,0.551858
1231.46,0.14126,0.056765,1.03296,0.553002
1231.46,0.14126,0.056765,1.03296,0.502159
1231.46,0.14126,0.056765,1.03296,0.402795
1231.46,0.14126,0.056765,1.03296,0.261681
1231.46,0.14126,0.056765,1.03296,0.0884336
1231.46,0.14126,0.056765,1.03296,-0.10514
1231.46,0.14126,0.056765,1.03296,-0.305849
1231.46,0.14126,0.056765,1.03296,-0.500015
1231.46,0.14126,0.056765,1.03296,-0.674406
1231.46,0.14126,0.056765,1.03296,-0.817137
1231.46,0.14126,0.056765,1.03296,-0.918482
1231.46,0.14126,0.056765,1.03296,-0.971534
1231.25,0.141265,0.0568004,1.03286,-0.972298
1231.25,0.141265,0.0568004,1.03286,-0.921734
1231.25,0.141265,0.0568004,1.03286,-0.822563
1231.25,0.141265,0.0568004,1.03286,-0.681546
1231.25,0.141265,0.0568004,1.03286,-0.50829
1231.25,0.141265,0.0568004,1.03286,-0.314604
1231.25,0.141265,0.0568004,1.03286,-0.113686
1231.25,0.141265,0.0568004,1.03286,0.0807699
1231.25,0.141265,0.0568004,1.03286,0.255513
1231.25,0.141265,0.0568004,1.03286,0.398635
1231.25,0.141265,0.0568004,1.03286,0.500382
1231.25,0.141265,0.0568004,1.03286,0.553821
1231.25,0.141265,0.0568004,1.03286,0.555309
1231.25,0.141265,0.0568004,1.03286,0.504745
1231.25,0.141265,0.0568004,1.03286,0.405574
1231.25,0.141265,0.0568004,1.03286,0.264556
1231.25,0.141265,0.0568004,1.03286,0.0913008
1231.25,0.141265,0.0568004,1.03286,-0.102385
1231.25,0.141265,0.0568004,1.03286,-0.303303
1231.25,0.141265,0.0568004,1.03286,-0.497759
1231.25,0.141265,0.0568004,1.03286,-0.672502
1231.25,0.141265,0.0568004,1.03286,-0.815624
1231.25,0.141265,0.0568004,1.03286,-0.917372
1231.25,0.141265,0.0568004,1.03286,-0.97081
1231.04,0.141273,0.0568409,1.03274,-0.97188
1231.04,0.141273,0.0568409,1.03274,-0.921585
1231.04,0.141273,0.0568409,1.03274,-0.822598
1231.04,0.141273,0.0568409,1.03274,-0.681665
1231.04,0.141273,0.0568409,1.03274,-0.50839
1231.04,0.141273,0.0568409,1.03274,-0.314582
1231.04,0.141273,0.0568409,1.03274,-0.113448
1231.04,0.141273,0.0568409,1.03274,0.0813041
1231.04,0.141273,0.0568409,1.03274,0.256403
1231.04,0.141273,0.0568409,1.03274,0.399917
1231.04,0.141273,0.0568409,1.03274,0.502063
1231.04,0.141273,0.0568409,1.03274,0.555883
1231.04,0.141273,0.0568409,1.03274,0.557708
1231.04,0.141273,0.0568409,1.03274,0.507413
1231.04,0.141273,0.0568409,1.03274,0.408426
1231.04,0.141273,0.0568409,1.03274,0.267493
1231.04,0.141273,0.0568409,1.03274,0.0942183
1231.04,0.141273,0.0568409,1.03274,-0.0995898
1231.04,0.141273,0.0568409,1.03274,-0.300724
1231.04,0.141273,0.0568409,1.03274,-0.495476
1231.04,0.141273,0.0568409,1.03274,-0.670575
1231.04,0.141273,0.0568409,1.03274,-0.814089
1231.04,0.141273,0.0568409,1.03274,-0.916236
1231.04,0.141273,0.0568409,1.03274,-0.970055
1230.81,0.141285,0.0568861,1.03262,-0.971422
1230.81,0.141285,0.0568861,1.03262,-0.921387
1230.81,0.141285,0.0568861,1.03262,-0.822573
1230.81,0.141285,0.0568861,1.03262,-0.681714
1230.81,0.141285,0.0568861,1.03262,-0.508409
1230.81,0.141285,0.0568861,1.03262,-0.31447
1230.81,0.141285,0.0568861,1.03262,-0.113112
1230.81,0.141285,0.0568861,1.03262,0.0819427
1230.81,0.141285,0.0568861,1.03262,0.257401
1230.81,0.141285,0.0568861,1.03262,0.401305
1230.81,0.141285,0.0568861,1.03262,0.503849
1230.81,0.141285,0.0568861,1.03262,0.558044
1230.81,0.141285,0.0568861,1.03262,0.560197
1230.81,0.141285,0.0568861,1.03262,0.510162
1230.81,0.141285,0.0568861,1.03262,0.411348
1230.81,0.141285,0.0568861,1.03262,0.270489
1230.81,0.141285,0.0568861,1.03262,0.0971842
1230.81,0.141285,0.0568861,1.03262,-0.0967555
1230.81,0.141285,0.0568861,1.03262,-0.298113
1230.81,0.141285,0.0568861,1.03262,-0.493168
1230.81,0.141285,0.0568861,1.03262,-0.668626
1230.81,0.141285,0.0568861,1.03262,-0.81253
1230.81,0.141285,0.0568861,1.03262,-0.915074
1230.81,0.141285,0.0568861,1.03262,-0.969269
1230.57,0.141301,0.0569357,1.03248,-0.970925
1230.57,0.141301,0.0569357,1.03248,-0.921139
1230.57,0.141301,0.0569357,1.03248,-0.822487
1230.57,0.141301,0.0569357,1.03248,-0.681691
1230.57,0.141301,0.0569357,1.03248,-0.508346
1230.57,0.141301,0.0569357,1.03248,-0.314265
1230.57,0.141301,0.0569357,1.03248,-0.112675
1230.57,0.141301,0.0569357,1.03248,0.0826859
1230.57,0.141301,0.0569357,1.03248,0.258505
1230.57,0.141301,0.0569357,1.03248,0.4028
1230.57,0.141301,0.0569357,1.03248,0.505737
1230.57,0.141301,0.0569357,1.03248,0.560302
1230.57,0.141301,0.0569357,1.03248,0.562776
1230.57,0.141301,0.0569357,1.03248,0.51299
1230.57,0.141301,0.0569357,1.03248,0.414338
1230.57,0.141301,0.0569357,1.03248,0.273541
1230.57,0.141301,0.0569357,1.03248,0.100197
1230.57,0.141301,0.0569357,1.03248,-0.093884
1230.57,0.141301,0.0569357,1.03248,-0.295474
1230.57,0.141301,0.0569357,1.03248,-0.490835
1230.57,0.141301,0.0569357,1.03248,-0.666654
1230.57,0.141301,0.0569357,1.03248,-0.810949
1230.57,0.141301,0.0569357,1.03248,-0.913886
1230.57,0.141301,0.0569357,1.03248,-0.968451
1230.33,0.141319,0.0569894,1.03233,-0.970387
1230.33,0.141319,0.0569894,1.03233,-0.920841
1230.33,0.141319,0.0569894,1.03233,-0.822339
1230.33,0.141319,0.0569894,1.03233,-0.681594
1230.33,0.141319,0.0569894,1.03233,-0.508198
1230.33,0.141319,0.0569894,1.03233,-0.313968
1230.33,0.141319,0.0569894,1.03233,-0.112139
1230.33,0.141319,0.0569894,1.03233,0.0835338
1230.33,0.141319,0.0569894,1.03233,0.259716
1230.33,0.141319,0.0569894,1.03233,0.4044
1230.33,0.141319,0.0569894,1.03233,0.507727
1230.33,0.141319,0.0569894,1.03233,0.562656
1230.33,0.141319,0.0569894,1.03233,0.565442
1230.33,0.141319,0.0569894,1.03233,0.515896
1230.33,0.141319,0.0569894,1.03233,0.417394
1230.33,0.141319,0.0569894,1.03233,0.276649
1230.33,0.141319,0.0569894,1.03233,0.103253
1230.33,0.141319,0.0569894,1.03233,-0.0909772
1230.33,0.141319,0.0569894,1.03233,-0.292806
1230.33,0.141319,0.0569894,1.03233,-0.488479
1230.33,0.141319,0.0569894,1.03233,-0.664661
1230.33,0.141319,0.0569894,1.03233,-0.809345
1230.33,0.141319,0.0569894,1.03233,-0.912672
1230.33,0.141319,0.0569894,1.03233,-0.967601
1230.07,0.141341,0.057047,1.03218,-0.969807
1230.07,0.141341,0.057047,1.03218,-0.92049
1230.07,0.141341,0.057047,1.03218,-0.822128
1230.07,0.141341,0.057047,1.03218,-0.681424
1230.07,0.141341,0.057047,1.03218,-0.507967
1230.07,0.141341,0.057047,1.03218,-0.313577
1230.07,0.141341,0.057047,1.03218,-0.111502
1230.07,0.141341,0.057047,1.03218,0.0844864
1230.07,0.141341,0.057047,1.03218,0.261033
1230.07,0.141341,0.057047,1.03218,0.406106
1230.07,0.141341,0.057047,1.03218,0.509819
1230.07,0.141341,0.057047,1.03218,0.565104
1230.07,0.141341,0.057047,1.03218,0.568193
1230.07,0.141341,0.057047,1.03218,0.518876
1230.07,0.141341,0.057047,1.03218,0.420514
1230.07,0.141341,0.057047,1.03218,0.27981
1230.07,0.141341,0.057047,1.03218,0.106353
1230.07,0.141341,0.057047,1.03218,-0.0880368
1230.07,0.141341,0.057047,1.03218,-0.290112
1230.07,0.141341,0.057047,1.03218,-0.486101
1230.07,0.141341,0.057047,1.03218,-0.662647
1230.07,0.141341,0.057047,1.03218,-0.80772
1230.07,0.141341,0.057047,1.03218,-0.911433
1230.07,0.141341,0.057047,1.03218,-0.966718
1229.81,0.141366,0.0571082,1.03202,-0.969185
1229.81,0.141366,0.0571082,1.03202,-0.920087
1229.81,0.141366,0.0571082,1.03202,-0.821854
1229.81,0.141366,0.0571082,1.03202,-0.681179
1229.81,0.141366,0.0571082,1.03202,-0.50765
1229.81,0.141366,0.0571082,1.03202,-0.313093
1229.81,0.141366,0.0571082,1.03202,-0.110765
1229.81,0.141366,0.0571082,1.03202,0.0855437
1229.81,0.141366,0.0571082,1.03202,0.262456
1229.81,0.141366,0.0571082,1.03202,0.407916
1229.81,0.141366,0.0571082,1.03202,0.51201
1229.81,0.141366,0.0571082,1.03202,0.567644
1229.81,0.141366,0.0571082,1.03202,0.571028
1229.81,0.141366,0.0571082,1.03202,0.52193
1229.81,0.141366,0.0571082,1.03202,0.423697
1229.81,0.141366,0.0571082,1.03202,0.283022
1229.81,0.141366,0.0571082,1.03202,0.109493
1229.81,0.141366,0.0571082,1.03202,-0.0850644
1229.81,0.141366,0.0571082,1.03202,-0.287392
1229.81,0.141366,0.0571082,1.03202,-0.483701
1229.81,0.141366,0.0571082,1.03202,-0.660614
1229.81,0.141366,0.0571082,1.03202,-0.806073
1229.81,0.141366,0.0571082,1.03202,-0.910167
1229.81,0.141366,0.0571082,1.03202,-0.965802
1229.54,0.141394,0.0571727,1.03184,-0.968521
1229.54,0.141394,0.0571727,1.03184,-0.919631
1229.54,0.141394,0.0571727,1.03184,-0.821515
1229.54,0.141394,0.0571727,1.03184,-0.680859
1229.54,0.141394,0.0571727,1.03184,-0.507248
1229.54,0.141394,0.0571727,1.03184,-0.312514
1229.54,0.141394,0.0571727,1.03184,-0.109927
1229.54,0.141394,0.0571727,1.03184,0.0867056
1229.54,0.141394,0.0571727,1.03184,0.263985
1229.54,0.141394,0.0571727,1.03184,0.409829
1229.54,0.141394,0.0571727,1.03184,0.5143
1229.54,0.141394,0.0571727,1.03184,0.570276
1229.54,0.141394,0.0571727,1.03184,0.573945
1229.54,0.141394,0.0571727,1.03184,0.525055
1229.54,0.141394,0.0571727,1.03184,0.426939
1229.54,0.141394,0.0571727,1.03184,0.286283
1229.54,0.141394,0.0571727,1.03184,0.112672
1229.54,0.141394,0.0571727,1.03184,-0.0820618
