EnergyPlus Starting
EnergyPlus, Version 9.4.0-6c9ad3619c, YMD=2020.06.02 21:28
Initializing Response Factors
Calculating CTFs for "STEEL FRAME NON-RES EXT WALL", Construction # 1
Calculating CTFs for "IEAD NON-RES ROOF", Construction # 2
Calculating CTFs for "EXT-SLAB", Construction # 3
Calculating CTFs for "INT-WALLS", Construction # 4
Calculating CTFs for "INT-FLOOR-TOPSIDE", Construction # 5
Calculating CTFs for "DROPCEILING", Construction # 8
Calculating CTFs for "INTERIORFURNISHINGS", Construction # 9
Initializing Window Optical Properties
Initializing Solar Calculations
Allocate Solar Module Arrays
Initializing Zone and Enclosure Report Variables
Initializing Surface (Shading) Report Variables
Determining Shadowing Combinations
Computing Window Shade Absorption Factors
Proceeding with Initializing Solar Calculations
Initializing Surfaces
Initializing Outdoor environment for Surfaces
Setting up Surface Reporting Variables
Initializing Temperature and Flux Histories
Initializing Window Shading
Computing Interior Absorption Factors
Computing Interior Diffuse Solar Absorption Factors
Computing Interior Diffuse Solar Exchange through Interzone Windows
Initializing Solar Heat Gains
Initializing Internal Heat Gains
Initializing Interior Solar Distribution
Initializing Interior Convection Coefficients
Gathering Information for Predefined Reporting
Completed Initializing Surface Heat Balance
Calculate Outside Surface Heat Balance
Calculate Inside Surface Heat Balance
Calculate Air Heat Balance
Initializing HVAC
Warming up
Warming up
Warming up
Warming up
Warming up
Warming up
Performing Zone Sizing Simulation
...for Sizing Period: #1 CHICAGO ANN HTG 99.6% CONDNS DB
Warming up
Warming up
Warming up
Warming up
Warming up
Warming up
Performing Zone Sizing Simulation
...for Sizing Period: #2 CHICAGO ANN CLG .4% CONDNS WB=>MDB
Calculating System sizing
...for Sizing Period: #1 CHICAGO ANN HTG 99.6% CONDNS DB
Calculating System sizing
...for Sizing Period: #2 CHICAGO ANN CLG .4% CONDNS WB=>MDB
Adjusting Air System Sizing
Adjusting Standard 62.1 Ventilation Sizing
Initializing Simulation
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.938995
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.888401
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.795072
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.665369
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.50813
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.33407
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.155053
solar_para,1232.92,0.141454,0.0567465,1.03349,0.0167229
solar_para,1232.92,0.141454,0.0567465,1.03349,0.169551
solar_para,1232.92,0.141454,0.0567465,1.03349,0.293016
solar_para,1232.92,0.141454,0.0567465,1.03349,0.378704
solar_para,1232.92,0.141454,0.0567465,1.03349,0.420777
solar_para,1232.92,0.141454,0.0567465,1.03349,0.416365
solar_para,1232.92,0.141454,0.0567465,1.03349,0.365771
solar_para,1232.92,0.141454,0.0567465,1.03349,0.272442
solar_para,1232.92,0.141454,0.0567465,1.03349,0.142739
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.0145005
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.18856
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.367577
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.539353
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.692181
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.815646
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.901335
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.943407
Reporting Surfaces
Beginning Primary Simulation
Initializing New Environment Parameters
Warming up {1}
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.938995
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.888401
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.795072
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.665369
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.50813
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.33407
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.155053
solar_para,1232.92,0.141454,0.0567465,1.03349,0.0167229
solar_para,1232.92,0.141454,0.0567465,1.03349,0.169551
solar_para,1232.92,0.141454,0.0567465,1.03349,0.293016
solar_para,1232.92,0.141454,0.0567465,1.03349,0.378704
solar_para,1232.92,0.141454,0.0567465,1.03349,0.420777
solar_para,1232.92,0.141454,0.0567465,1.03349,0.416365
solar_para,1232.92,0.141454,0.0567465,1.03349,0.365771
solar_para,1232.92,0.141454,0.0567465,1.03349,0.272442
solar_para,1232.92,0.141454,0.0567465,1.03349,0.142739
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.0145005
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.18856
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.367577
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.539353
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.692181
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.815646
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.901335
solar_para,1232.92,0.141454,0.0567465,1.03349,-0.943407
Warming up {2}
Warming up {3}
Warming up {4}
Warming up {5}
Warming up {6}
Warming up {7}
Warming up {8}
Warming up {9}
Warming up {10}
Starting Simulation at 01/01/2017 for ANNUAL
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.938743
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.888466
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.79539
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.665858
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.508697
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.334617
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.155481
solar_para,1232.83,0.141412,0.0567172,1.03348,0.016502
solar_para,1232.83,0.141412,0.0567172,1.03348,0.169612
solar_para,1232.83,0.141412,0.0567172,1.03348,0.293416
solar_para,1232.83,0.141412,0.0567172,1.03348,0.379476
solar_para,1232.83,0.141412,0.0567172,1.03348,0.421926
solar_para,1232.83,0.141412,0.0567172,1.03348,0.417875
solar_para,1232.83,0.141412,0.0567172,1.03348,0.367599
solar_para,1232.83,0.141412,0.0567172,1.03348,0.274523
solar_para,1232.83,0.141412,0.0567172,1.03348,0.144991
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.0121708
