solar_para,1232.83,0.141412,0.0567172,1.03348,-0.186251
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.365386
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.53737
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.69048
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.814284
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.900343
solar_para,1232.83,0.141412,0.0567172,1.03348,-0.942794
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.93844
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.888475
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.795645
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.666275
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.509182
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.335071
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.155809
solar_para,1232.72,0.141376,0.0566954,1.03347,0.0163894
solar_para,1232.72,0.141376,0.0566954,1.03347,0.169788
solar_para,1232.72,0.141376,0.0566954,1.03347,0.293933
solar_para,1232.72,0.141376,0.0566954,1.03347,0.380365
solar_para,1232.72,0.141376,0.0566954,1.03347,0.423193
solar_para,1232.72,0.141376,0.0566954,1.03347,0.419499
solar_para,1232.72,0.141376,0.0566954,1.03347,0.369534
solar_para,1232.72,0.141376,0.0566954,1.03347,0.276703
solar_para,1232.72,0.141376,0.0566954,1.03347,0.147333
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.00976028
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.183871
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.363133
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.535331
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.68873
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.812875
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.899307
solar_para,1232.72,0.141376,0.0566954,1.03347,-0.942135
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.938087
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.888428
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.795834
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.666617
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.509583
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.335433
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.156035
solar_para,1232.61,0.141344,0.0566809,1.03344,0.0163856
solar_para,1232.61,0.141344,0.0566809,1.03344,0.170078
solar_para,1232.61,0.141344,0.0566809,1.03344,0.294568
solar_para,1232.61,0.141344,0.0566809,1.03344,0.381373
solar_para,1232.61,0.141344,0.0566809,1.03344,0.424576
solar_para,1232.61,0.141344,0.0566809,1.03344,0.421234
solar_para,1232.61,0.141344,0.0566809,1.03344,0.371574
solar_para,1232.61,0.141344,0.0566809,1.03344,0.278981
solar_para,1232.61,0.141344,0.0566809,1.03344,0.149764
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.00727049
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.181421
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.360819
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.533239
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.686931
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.811422
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.898226
solar_para,1232.61,0.141344,0.0566809,1.03344,-0.94143
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.937684
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.888322
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.795958
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.666885
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.5099
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.3357
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.156158
solar_para,1232.48,0.141318,0.0566735,1.0334,0.0164913
solar_para,1232.48,0.141318,0.0566735,1.0334,0.170482
solar_para,1232.48,0.141318,0.0566735,1.0334,0.29532
solar_para,1232.48,0.141318,0.0566735,1.0334,0.382498
solar_para,1232.48,0.141318,0.0566735,1.0334,0.426075
solar_para,1232.48,0.141318,0.0566735,1.0334,0.423081
solar_para,1232.48,0.141318,0.0566735,1.0334,0.373719
solar_para,1232.48,0.141318,0.0566735,1.0334,0.281355
solar_para,1232.48,0.141318,0.0566735,1.0334,0.152282
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.00470317
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.178903
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.358445
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.531094
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.685085
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.809923
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.897101
solar_para,1232.48,0.141318,0.0566735,1.0334,-0.940678
solar_para,1232.34,0.141297,0.056673,1.03335,-0.937228
solar_para,1232.34,0.141297,0.056673,1.03335,-0.888159
solar_para,1232.34,0.141297,0.056673,1.03335,-0.796015
solar_para,1232.34,0.141297,0.056673,1.03335,-0.667077
solar_para,1232.34,0.141297,0.056673,1.03335,-0.510131
solar_para,1232.34,0.141297,0.056673,1.03335,-0.335873
solar_para,1232.34,0.141297,0.056673,1.03335,-0.156179
solar_para,1232.34,0.141297,0.056673,1.03335,0.0167069
solar_para,1232.34,0.141297,0.056673,1.03335,0.171001
solar_para,1232.34,0.141297,0.056673,1.03335,0.29619
solar_para,1232.34,0.141297,0.056673,1.03335,0.383741
solar_para,1232.34,0.141297,0.056673,1.03335,0.427689
solar_para,1232.34,0.141297,0.056673,1.03335,0.425037
solar_para,1232.34,0.141297,0.056673,1.03335,0.375968
solar_para,1232.34,0.141297,0.056673,1.03335,0.283824
solar_para,1232.34,0.141297,0.056673,1.03335,0.154886
solar_para,1232.34,0.141297,0.056673,1.03335,-0.00206
solar_para,1232.34,0.141297,0.056673,1.03335,-0.176318
solar_para,1232.34,0.141297,0.056673,1.03335,-0.356013
solar_para,1232.34,0.141297,0.056673,1.03335,-0.528898
solar_para,1232.34,0.141297,0.056673,1.03335,-0.683193
solar_para,1232.34,0.141297,0.056673,1.03335,-0.808381
solar_para,1232.34,0.141297,0.056673,1.03335,-0.895933
solar_para,1232.34,0.141297,0.056673,1.03335,-0.93988
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.936721
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.887937
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.796005
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.667192
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.510276
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.335951
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.156095
solar_para,1232.19,0.141281,0.0566791,1.03329,0.0170331
solar_para,1232.19,0.141281,0.0566791,1.03329,0.171636
solar_para,1232.19,0.141281,0.0566791,1.03329,0.297177
solar_para,1232.19,0.141281,0.0566791,1.03329,0.385101
solar_para,1232.19,0.141281,0.0566791,1.03329,0.429416
solar_para,1232.19,0.141281,0.0566791,1.03329,0.427102
solar_para,1232.19,0.141281,0.0566791,1.03329,0.378318
solar_para,1232.19,0.141281,0.0566791,1.03329,0.286386
solar_para,1232.19,0.141281,0.0566791,1.03329,0.157573
solar_para,1232.19,0.141281,0.0566791,1.03329,0.000657276
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.173669
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.353524
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.526652
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.681255
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.806796
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.89472
solar_para,1232.19,0.141281,0.0566791,1.03329,-0.939035
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.936162
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.887655
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.795927
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.66723
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.510334
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.335931
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.155907
solar_para,1232.02,0.141269,0.0566916,1.03323,0.0174702
solar_para,1232.02,0.141269,0.0566916,1.03323,0.172385
solar_para,1232.02,0.141269,0.0566916,1.03323,0.29828
solar_para,1232.02,0.141269,0.0566916,1.03323,0.386577
solar_para,1232.02,0.141269,0.0566916,1.03323,0.431257
solar_para,1232.02,0.141269,0.0566916,1.03323,0.429275
solar_para,1232.02,0.141269,0.0566916,1.03323,0.380768
solar_para,1232.02,0.141269,0.0566916,1.03323,0.28904
solar_para,1232.02,0.141269,0.0566916,1.03323,0.160343
solar_para,1232.02,0.141269,0.0566916,1.03323,0.0034469
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.170956
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.35098
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.524357
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.679272
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.805167
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.893463
solar_para,1232.02,0.141269,0.0566916,1.03323,-0.938143
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.93555
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.887312
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.795779
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.667188
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.510303
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.335814
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.155614
solar_para,1231.84,0.141262,0.0567103,1.03315,0.0180185
solar_para,1231.84,0.141262,0.0567103,1.03315,0.173249
solar_para,1231.84,0.141262,0.0567103,1.03315,0.2995
solar_para,1231.84,0.141262,0.0567103,1.03315,0.388168
solar_para,1231.84,0.141262,0.0567103,1.03315,0.433209
solar_para,1231.84,0.141262,0.0567103,1.03315,0.431554
solar_para,1231.84,0.141262,0.0567103,1.03315,0.383317
solar_para,1231.84,0.141262,0.0567103,1.03315,0.291784
solar_para,1231.84,0.141262,0.0567103,1.03315,0.163193
solar_para,1231.84,0.141262,0.0567103,1.03315,0.00630708
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.168182
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.348382
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.522014
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.677245
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.803496
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.892163
solar_para,1231.84,0.141262,0.0567103,1.03315,-0.937205
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.934885
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.886909
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.795561
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.667067
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.510182
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.335599
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.155214
solar_para,1231.66,0.141259,0.0567348,1.03306,0.0186784
solar_para,1231.66,0.141259,0.0567348,1.03306,0.174229
solar_para,1231.66,0.141259,0.0567348,1.03306,0.300837
solar_para,1231.66,0.141259,0.0567348,1.03306,0.389874
solar_para,1231.66,0.141259,0.0567348,1.03306,0.435272
solar_para,1231.66,0.141259,0.0567348,1.03306,0.433938
solar_para,1231.66,0.141259,0.0567348,1.03306,0.385963
solar_para,1231.66,0.141259,0.0567348,1.03306,0.294615
solar_para,1231.66,0.141259,0.0567348,1.03306,0.166121
solar_para,1231.66,0.141259,0.0567348,1.03306,0.00923602
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.165347
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.345732
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.519625
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.675175
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.801783
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.89082
solar_para,1231.66,0.141259,0.0567348,1.03306,-0.936219
solar_para,1231.46,0.14126,0.056765,1.03296,-0.934165
solar_para,1231.46,0.14126,0.056765,1.03296,-0.886444
solar_para,1231.46,0.14126,0.056765,1.03296,-0.795273
solar_para,1231.46,0.14126,0.056765,1.03296,-0.666865
solar_para,1231.46,0.14126,0.056765,1.03296,-0.509972
solar_para,1231.46,0.14126,0.056765,1.03296,-0.335285
solar_para,1231.46,0.14126,0.056765,1.03296,-0.154709
solar_para,1231.46,0.14126,0.056765,1.03296,0.0194501
solar_para,1231.46,0.14126,0.056765,1.03296,0.175324
solar_para,1231.46,0.14126,0.056765,1.03296,0.302289
solar_para,1231.46,0.14126,0.056765,1.03296,0.391694
solar_para,1231.46,0.14126,0.056765,1.03296,0.437445
solar_para,1231.46,0.14126,0.056765,1.03296,0.436425
solar_para,1231.46,0.14126,0.056765,1.03296,0.388704
solar_para,1231.46,0.14126,0.056765,1.03296,0.297533
solar_para,1231.46,0.14126,0.056765,1.03296,0.169125
solar_para,1231.46,0.14126,0.056765,1.03296,0.0122319
solar_para,1231.46,0.14126,0.056765,1.03296,-0.162455
solar_para,1231.46,0.14126,0.056765,1.03296,-0.343031
solar_para,1231.46,0.14126,0.056765,1.03296,-0.51719
solar_para,1231.46,0.14126,0.056765,1.03296,-0.673063
solar_para,1231.46,0.14126,0.056765,1.03296,-0.800029
solar_para,1231.46,0.14126,0.056765,1.03296,-0.889434
solar_para,1231.46,0.14126,0.056765,1.03296,-0.935185
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.933392
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.885916
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.794912
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.666581
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.50967
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.334871
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.154097
solar_para,1231.25,0.141265,0.0568004,1.03286,0.0203338
solar_para,1231.25,0.141265,0.0568004,1.03286,0.176533
solar_para,1231.25,0.141265,0.0568004,1.03286,0.303856
solar_para,1231.25,0.141265,0.0568004,1.03286,0.393627
solar_para,1231.25,0.141265,0.0568004,1.03286,0.439727
solar_para,1231.25,0.141265,0.0568004,1.03286,0.439014
solar_para,1231.25,0.141265,0.0568004,1.03286,0.391539
solar_para,1231.25,0.141265,0.0568004,1.03286,0.300535
solar_para,1231.25,0.141265,0.0568004,1.03286,0.172204
solar_para,1231.25,0.141265,0.0568004,1.03286,0.0152928
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.159506
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.340281
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.514711
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.67091
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.798233
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.888004
solar_para,1231.25,0.141265,0.0568004,1.03286,-0.934104
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.932563
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.885325
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.794478
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.666215
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.509277
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.334357
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.153377
solar_para,1231.04,0.141273,0.0568409,1.03274,0.0213295
solar_para,1231.04,0.141273,0.0568409,1.03274,0.177857
solar_para,1231.04,0.141273,0.0568409,1.03274,0.305538
solar_para,1231.04,0.141273,0.0568409,1.03274,0.395672
solar_para,1231.04,0.141273,0.0568409,1.03274,0.442115
solar_para,1231.04,0.141273,0.0568409,1.03274,0.441704
solar_para,1231.04,0.141273,0.0568409,1.03274,0.394465
solar_para,1231.04,0.141273,0.0568409,1.03274,0.303619
solar_para,1231.04,0.141273,0.0568409,1.03274,0.175356
solar_para,1231.04,0.141273,0.0568409,1.03274,0.018417
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.156503
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.337483
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.512189
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.668717
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.796398
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.886531
solar_para,1231.04,0.141273,0.0568409,1.03274,-0.932975
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.931679
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.88467
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.793972
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.665766
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.50879
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.333742
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.15255
solar_para,1230.81,0.141285,0.0568861,1.03262,0.0224374
solar_para,1230.81,0.141285,0.0568861,1.03262,0.179295
solar_para,1230.81,0.141285,0.0568861,1.03262,0.307334
solar_para,1230.81,0.141285,0.0568861,1.03262,0.397828
solar_para,1230.81,0.141285,0.0568861,1.03262,0.44461
solar_para,1230.81,0.141285,0.0568861,1.03262,0.444492
solar_para,1230.81,0.141285,0.0568861,1.03262,0.397482
solar_para,1230.81,0.141285,0.0568861,1.03262,0.306784
solar_para,1230.81,0.141285,0.0568861,1.03262,0.178578
solar_para,1230.81,0.141285,0.0568861,1.03262,0.0216024
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.153446
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.334638
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.509625
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.666483
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.794522
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.885015
solar_para,1230.81,0.141285,0.0568861,1.03262,-0.931797
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.93074
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.88395
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.79339
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.665233
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.508211
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.333025
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.151615
solar_para,1230.57,0.141301,0.0569357,1.03248,0.0236573
solar_para,1230.57,0.141301,0.0569357,1.03248,0.180847
solar_para,1230.57,0.141301,0.0569357,1.03248,0.309243
solar_para,1230.57,0.141301,0.0569357,1.03248,0.400093
solar_para,1230.57,0.141301,0.0569357,1.03248,0.447208
solar_para,1230.57,0.141301,0.0569357,1.03248,0.447376
solar_para,1230.57,0.141301,0.0569357,1.03248,0.400586
solar_para,1230.57,0.141301,0.0569357,1.03248,0.310027
solar_para,1230.57,0.141301,0.0569357,1.03248,0.181869
solar_para,1230.57,0.141301,0.0569357,1.03248,0.0248473
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.150338
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.331748
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.507021
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.664211
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.792606
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.883457
solar_para,1230.57,0.141301,0.0569357,1.03248,-0.930572
Continuing Simulation at 01/14/2017 for ANNUAL
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.929744
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.883165
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.792734
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.664614
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.507537
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.332207
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.150572
solar_para,1230.33,0.141319,0.0569894,1.03233,0.0249893
solar_para,1230.33,0.141319,0.0569894,1.03233,0.182513
solar_para,1230.33,0.141319,0.0569894,1.03233,0.311264
solar_para,1230.33,0.141319,0.0569894,1.03233,0.402468
solar_para,1230.33,0.141319,0.0569894,1.03233,0.44991
solar_para,1230.33,0.141319,0.0569894,1.03233,0.450356
solar_para,1230.33,0.141319,0.0569894,1.03233,0.403777
solar_para,1230.33,0.141319,0.0569894,1.03233,0.313346
solar_para,1230.33,0.141319,0.0569894,1.03233,0.185227
solar_para,1230.33,0.141319,0.0569894,1.03233,0.0281497
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.147181
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.328815
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.504377
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.6619
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.790651
solar_para,1230.33,0.141319,0.0569894,1.03233,-0.881856
