A,B,C,AVSC,cos-zenith
1232.48,0.141318,0.0566735,1.0334,-0.952462
1232.34,0.141297,0.056673,1.03335,-0.964336
1232.34,0.141297,0.056673,1.03335,-0.927274
1232.34,0.141297,0.056673,1.03335,-0.84301
1232.34,0.141297,0.056673,1.03335,-0.717285
1232.34,0.141297,0.056673,1.03335,-0.558668
1232.34,0.141297,0.056673,1.03335,-0.377968
1232.34,0.141297,0.056673,1.03335,-0.1875
1232.34,0.141297,0.056673,1.03335,-0.000243411
1232.34,0.141297,0.056673,1.03335,0.17104
1232.34,0.141297,0.056673,1.03335,0.314678
1232.34,0.141297,0.056673,1.03335,0.420882
1232.34,0.141297,0.056673,1.03335,0.482413
1232.34,0.141297,0.056673,1.03335,0.49508
1232.34,0.141297,0.056673,1.03335,0.458018
1232.34,0.141297,0.056673,1.03335,0.373753
1232.34,0.141297,0.056673,1.03335,0.248028
1232.34,0.141297,0.056673,1.03335,0.0894111
1232.34,0.141297,0.056673,1.03335,-0.0912887
1232.34,0.141297,0.056673,1.03335,-0.281757
1232.34,0.141297,0.056673,1.03335,-0.469013
1232.34,0.141297,0.056673,1.03335,-0.640297
1232.34,0.141297,0.056673,1.03335,-0.783935
1232.34,0.141297,0.056673,1.03335,-0.890138
1232.34,0.141297,0.056673,1.03335,-0.95167
1232.19,0.141281,0.0566791,1.03329,-0.963879
1232.19,0.141281,0.0566791,1.03329,-0.92714
1232.19,0.141281,0.0566791,1.03329,-0.843126
1232.19,0.141281,0.0566791,1.03329,-0.717564
1232.19,0.141281,0.0566791,1.03329,-0.559011
1232.19,0.141281,0.0566791,1.03329,-0.378271
1232.19,0.141281,0.0566791,1.03329,-0.187662
1232.19,0.141281,0.0566791,1.03329,-0.000173007
1232.19,0.141281,0.0566791,1.03329,0.171418
1232.19,0.141281,0.0566791,1.03329,0.315419
1232.19,0.141281,0.0566791,1.03329,0.422014
1232.19,0.141281,0.0566791,1.03329,0.483941
1232.19,0.141281,0.0566791,1.03329,0.496979
1232.19,0.141281,0.0566791,1.03329,0.46024
1232.19,0.141281,0.0566791,1.03329,0.376226
1232.19,0.141281,0.0566791,1.03329,0.250664
1232.19,0.141281,0.0566791,1.03329,0.0921109
1232.19,0.141281,0.0566791,1.03329,-0.088629
1232.19,0.141281,0.0566791,1.03329,-0.279238
1232.19,0.141281,0.0566791,1.03329,-0.466727
1232.19,0.141281,0.0566791,1.03329,-0.638318
1232.19,0.141281,0.0566791,1.03329,-0.782319
1232.19,0.141281,0.0566791,1.03329,-0.888914
1232.19,0.141281,0.0566791,1.03329,-0.950841
1232.02,0.141269,0.0566916,1.03323,-0.96338
1232.02,0.141269,0.0566916,1.03323,-0.926956
1232.02,0.141269,0.0566916,1.03323,-0.843185
1232.02,0.141269,0.0566916,1.03323,-0.717776
1232.02,0.141269,0.0566916,1.03323,-0.559276
1232.02,0.141269,0.0566916,1.03323,-0.378486
1232.02,0.141269,0.0566916,1.03323,-0.187727
1232.02,0.141269,0.0566916,1.03323,1.68E-06
1232.02,0.141269,0.0566916,1.03323,0.171906
1232.02,0.141269,0.0566916,1.03323,0.316271
1232.02,0.141269,0.0566916,1.03323,0.42326
1232.02,0.141269,0.0566916,1.03323,0.485579
1232.02,0.141269,0.0566916,1.03323,0.498984
1232.02,0.141269,0.0566916,1.03323,0.462559
1232.02,0.141269,0.0566916,1.03323,0.378788
1232.02,0.141269,0.0566916,1.03323,0.253379
1232.02,0.141269,0.0566916,1.03323,0.094879
1232.02,0.141269,0.0566916,1.03323,-0.0859109
1232.02,0.141269,0.0566916,1.03323,-0.27667
1232.02,0.141269,0.0566916,1.03323,-0.464399
1232.02,0.141269,0.0566916,1.03323,-0.636303
1232.02,0.141269,0.0566916,1.03323,-0.780668
1232.02,0.141269,0.0566916,1.03323,-0.887656
1232.02,0.141269,0.0566916,1.03323,-0.949976
1231.84,0.141262,0.0567103,1.03315,-0.962839
1231.84,0.141262,0.0567103,1.03315,-0.926722
1231.84,0.141262,0.0567103,1.03315,-0.843184
1231.84,0.141262,0.0567103,1.03315,-0.717919
1231.84,0.141262,0.0567103,1.03315,-0.559462
1231.84,0.141262,0.0567103,1.03315,-0.378612
1231.84,0.141262,0.0567103,1.03315,-0.187694
1231.84,0.141262,0.0567103,1.03315,0.000281185
1231.84,0.141262,0.0567103,1.03315,0.172504
1231.84,0.141262,0.0567103,1.03315,0.317236
1231.84,0.141262,0.0567103,1.03315,0.424616
1231.84,0.141262,0.0567103,1.03315,0.487326
1231.84,0.141262,0.0567103,1.03315,0.501091
